,Number of rooms,Area (in m2),Floor,Address,Price in USD,Price in KGS
1,2,84,6,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",86000,7028995
2,3,130,2,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",111800,9137694
3,3,136,4,"Бишкек, Магистраль, пр. Ч. Айтматова",107440,8781340
4,2,65,7,"Бишкек, Магистраль, пр. Ч. Айтматова",52000,4250090
5,3,122,8,"Бишкек, Магистраль, пр. Ч. Айтматова",101260,8276233
6,2,86,10,"Бишкек, Магистраль, пр. Ч. Айтматова",73100,5974646
7,1,41,10,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",39500,3228434
8,2,65,12,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",62000,5067415
9,2,70,3,"Бишкек, Магистраль, Токомбаева 27/4, 27/5",62000,5067415
0,3,100,5,"Бишкек, Джальская больница, Ахунбаева 186",93000,7601123
1,3,62,2,"Бишкек, 10 м-н",65000,5312613
2,1,40,1,"Бишкек, Кок-Жар ж/м, Молдокулова/Медерова",37000,3024103
3,3,89,13,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",95000,7764588
4,1,54,6,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",56000,4577020
5,1,47,10,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",46000,3759695
6,2,79,12,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",71100,5811181
7,2,55,3,"Бишкек, Комфорт",52000,4250090
8,2,48,2,"Бишкек, Аламедин-1 м-н",40000,3269300
9,3,83,3,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",88000,7192460
0,4,128,8,"Бишкек, Джал-23 м-н (Нижний Джал), Ахунбаева 198",83200,6800144
1,1,58,7,"Бишкек, Старый аэропорт, Ажыбек Баатыра/Джунусалиева",50000,4086625
2,2,82,10,"Бишкек, Военторг, Сыдыкова/Коенкозова",92000,7519390
3,2,67,13,"Бишкек, КНУ, Уметалиева/Жумабека",41500,3391899
4,1,45,8,"с. Кок-Джар, Алма-Атинская/Южная магистраль",38000,3105835
5,3,93,3,"Бишкек, АУЦА, Асанбай, выше магистрали",46500,3800561
6,1,50,5,"Бишкек, Джальская больница, Ахунбаева 186",55000,4495288
7,2,79,4,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",80580,6586005
8,1,48,3,"Бишкек, Чуй - Алматинка, Чуй/Курманжан Датка",44000,3596230
9,1,48,5,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",45600,3727002
0,3,58,4,"Бишкек, 5 м-н, д 28",56000,4577020
1,1,38,4,"Бишкек, Аламедин-1 м-н",34000,2778905
2,2,68,2,"Бишкек, Советская - Скрябина, Шабдан Баатыра/Медерова",55000,4495288
3,1,58,5,"Бишкек, Старый аэропорт, Ажыбек Баатыра/Джунусалиева",52000,4250090
4,3,100,8,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",133000,10870423
5,4,150,10,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",150000,12259875
6,2,62,3,"Бишкек, Ден Сяопина - Фучика, Фучика 38/2/Рыскулова",48500,3964026
7,2,76,3,"Бишкек, Баха, Джал-15",67700,5533290
8,2,75,5,"Бишкек, Азия Молл, Ч. Айтматова (пр. Мира) 36",74000,6048205
9,3,62,2,"Бишкек, Бишкек-Парк",60000,4903950
0,1,51.6,12,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",38700,3163048
1,2,58.8,2,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",44100,3604403
2,3,125,8,"Бишкек, Филармония, Турусбекова/Рыскулова",135000,11033888
3,3,105,7,"Бишкек, Асанбай м-н, Куттубаева/Южн. Магистраль",85000,6947263
4,1,30,1,"Бишкек, Ошский рынок,  ул. Сыдыкова 207/Молодая Гвардия",30000,2451975
5,1,44,3,"Бишкек, Улан-2 м-н",40000,3269300
6,2,80,6,"Бишкек, Магистраль, пр. Ч. Айтматова",73000,5966473
7,1,41,14,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",25500,2084179
8,2,70,9,"с. Кок-Джар, Алма-Aтинская/Токомбаева",48500,3964026
9,3,92,5,"Бишкек, КНУ, Абдымомунова/Уметалиева",107000,8745378
0,2,72,13,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",81500,6661199
1,1,41,8,"Бишкек, 12 м-н, 12 мкр., ул А. Токомбаева",33500,2738039
2,2,57,10,"Бишкек, Горького",34000,2778905
3,1,48,1,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",41500,3391899
4,1,35,4,"Бишкек, Тунгуч м-н",35000,2860638
5,3,85,9,"Бишкек, 7 м-н, Сухэ-Батора/К. Маркса",87500,7151594
6,2,44,3,"Бишкек, 7 м-н",42000,3432765
7,3,75,6,"Бишкек, Магистраль, Масалиева",64000,5230880
8,2,84,10,"Бишкек, Сквер Тоголок Молдо, Логвиненко 12",74000,6048205
9,2,57,9,"Бишкек, Исакеева/Виноградная",40500,3310166
0,3,125,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",100000,8173250
1,2,70,9,"с. Кок-Джар, Алма-Aтинская/Токомбаева",60500,4944816
2,1,58,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",56000,4577020
3,2,69,6,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",60000,4903950
4,4,136,7,"Бишкек, Академия Наук, Уметалиева 113/Рыскулова 34",165000,13485863
5,3,104,6,"Бишкек, Ак Кеме, Минжилкиева 117",145000,11851213
6,2,70,10,"Бишкек, Ак Кеме, Минжилкиева 117",80250,6559033
7,4,104,12,"Бишкек, Политех, Ажыбек-Баатыра 10в",120000,9807900
8,1,48,1,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",41500,3391899
9,1,43,10,"Бишкек, КНУ, К. Акиева/Жумабека",38500,3146701
0,1,59,3,"Бишкек, Магистраль",40120,3279108
1,2,86,3,"Бишкек, Магистраль, пр. Ч. Айтматова",75600,6178977
2,1,43,6,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",42000,3432765
3,2,85.51,5,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",70000,5721275
4,2,75,1,"Бишкек, АЮ Grand,  ул. Исакеева 18/1",57000,4658753
5,1,35,3,"Бишкек, Кудайберген",27000,2206778
6,2,72,7,"Бишкек, АУЦА, 12-мкр. по ул. Токомбаева",60000,4903950
7,1,48.3,11,"Бишкек, Магистраль, Токомбаева/Сухэ Батора",42500,3473631
8,2,67,4,"с. Кок-Джар, Алма-Атинская/Южная магистраль",55500,4536154
9,1,51,7,"Бишкек, VEFA, Кулатова/Элебаева",43500,3555364
0,3,112,3,"Бишкек, Ахунбаева (Бот. Сад)",86000,7028995
1,1,45,6,"с. Кок-Джар, Алма-Атинская/Южная магистраль",37000,3024103
2,1,60.58,3,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",42000,3432765
3,2,85,3,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",72000,5884740
4,3,112,7,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",305000,24928413
5,2,67,4,"Бишкек, Магистраль, пр. Ч. Айтматова",55610,4545144
6,3,93.31,5,"Бишкек, 6 м-н,  ул. Саякабай Каралаева 13/9",63451,5185993
7,1,41.01,6,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",32808,2681480
8,1,31,5,"Бишкек, Пишпек ж/м",26500,2165911
9,1,41.67,9,"Бишкек, Космос, Абая 93/1",24500,2002446
0,1,24,2,"с. Кок-Джар, с. Кок-Жар, ул. Тулеева 16б",18500,1512051
1,1,24,3,"Бишкек, Достук м-н",17500,1430319
2,3,71,4,"Бишкек, Достук м-н",33500,2738039
3,2,39,4,"Бишкек, Аламедин-1 м-н",28500,2329376
4,3,92,3,"Бишкек, 4 м-н",108000,8827110
5,1,45,12,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",41500,3391899
6,2,44,2,"Бишкек, 7 м-н",48000,3923160
7,2,55,3,"Бишкек, Парк Ататюрк",44500,3637096
8,2,75,10,"Бишкек, Ак Кеме, Минжилкиева 117",87750,7172027
9,2,43,11,"Бишкек, Джал-29 м-н, Садырбаева стр. 258",47500,3882294
0,2,88,2,"Бишкек, Верхний Джал м-н",67000,5476078
1,3,132,5,"Бишкек, Магистраль, Малдыбаева 279",176000,14384920
2,2,60,8,"Бишкек, Улан м-н, Ахунбаева/Молдокулова (Кок-Джар)",56500,4617886
3,2,56,3,"Бишкек, Джал-23 м-н (Нижний Джал)",56000,4577020
4,2,70,8,"Бишкек, Тунгуч м-н 40",57000,4658753
5,2,64,2,"Бишкек, Душанбинка, Жаманбаева 8/2/Душанбинская",63000,5149148
6,2,65.6,9,"Бишкек, Джал-29 м-н, мкрн Джал-29 16",64000,5230880
7,2,56,6,"Бишкек, Юг-2 м-н, Элебаева/геологичекий переулок",50000,4086625
8,2,82,3,"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",97400,7960746
9,2,73,8,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",98000,8009785
0,2,84,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",79500,6497734
1,1,45,9,"Бишкек, Кок-Жар ж/м, Ахунбаева/Молдокулова",39000,3187568
2,3,90,9,"Бишкек, Академия Наук, турусбекова",87000,7110728
3,2,71,8,"Бишкек, Азия Молл, Севастопольская 6",68000,5557810
4,2,65,10,"Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",64000,5230880
5,1,45,3,"Бишкек, Кок-Жар ж/м",41500,3391899
6,2,85.51,2,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",70000,5721275
7,3,105,4,"Бишкек, Джал-23 м-н (Нижний Джал)",86000,7028995
8,5,265,13,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",238000,19452335
9,4,130,1,"Бишкек, Юбилейка, Советская/Льва Толстого",148000,12096410
0,1,29,5,"Бишкек, Кок-Жар м-н/медерова",23000,1879848
1,2,78,10,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",55000,4495288
2,2,56,6,"Бишкек, Сквер Тоголок Молдо, Исанова/Чуйкова",55000,4495288
3,1,43,6,"Бишкек, Молодая Гвардия, бул. Молодой Гвардии/Жумабека",45000,3677963
4,1,46,7,"Бишкек, Улан-2 м-н",41500,3391899
5,2,79,12,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",65570,5359200
6,4,127,5,"Бишкек, Городок энергетиков/ауэзова",98000,8009785
7,1,63.23,4,"Бишкек, Магистраль, просп. Ч. Айтматова 299/3/Чынгыз Айтматова Магистраль",105000,8581913
8,1,39,6,"Бишкек, Сквер Тоголок Молдо, Чуйкова/Коёнкозова",34000,2778905
9,2,70,2,"Бишкек, Горького - Панфилова",74000,6048205
0,1,37,6,"Бишкек, Тунгуч м-н, мкр.Тунгуч, Анкара",32500,2656306
1,2,54,2,"Бишкек, Золотой квадрат, Логвиненко 24/1/Киевская/Логвиненко",60000,4903950
2,1,45,11,"Бишкек, Тунгуч м-н, мкр.Тунгуч, Анкара",34500,2819771
3,1,55,12,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",51500,4209224
4,4,134,3,"Бишкек, ЖД вокзал, Панфилова/Чуйкова",138000,11279085
5,2,78,7,"Бишкек, Джал-23 м-н (Нижний Джал)",64000,5230880
6,2,80,6,"Бишкек, Магистраль, пр. Ч. Айтматова",75000,6129938
7,3,114,9,"Бишкек, Джал-30 м-н",95000,7764588
8,1,58,4,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",35000,2860638
9,2,43,2,"Бишкек, Кудайберген",38000,3105835
0,2,72,11,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",60000,4903950
1,3,72,10,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",59000,4822218
2,2,60,6,"Бишкек, Тунгуч м-н",53000,4331823
3,3,100,3,"Бишкек, Гагарина, Джал, ул. Курчатова 81",76500,6252536
4,2,60,5,"Бишкек, Филармония",62000,5067415
5,2,72,5,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",85000,6947263
6,3,89,8,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",65000,5312613
7,2,73,8,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",98000,8009785
8,1,58,4,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",55100,4503461
9,2,75,6,"Бишкек, Каралаева",77000,6293403
0,2,80,10,"Бишкек, 4 м-н, ахунбаева/карла маркса",81000,6620333
1,3,98,2,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",66720,5453192
2,3,102,7,"Бишкек, Золотой квадрат, боконбаева/разакова",182000,14875315
3,2,79,8,"Бишкек, Советская - Скрябина, Абая/Ахунбаева",82000,6702065
4,3,112,13,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",97440,7964015
5,2,70,6,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",60900,4977509
6,4,152,2,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",124640,10187139
7,2,43,3,"Бишкек, 4 м-н",45000,3677963
8,1,38.5,11,"Бишкек, АЮ Grand, Анкара 28",36000,2942370
9,1,37.5,5,"Бишкек, Политех, Ажыбек-Баатыра 10в",48000,3923160
0,1,50,5,"Бишкек, Каралаева",52500,4290956
1,1,30,4,"Бишкек, Юг-2 м-н",38000,3105835
2,2,58.8,10,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",39500,3228434
3,2,75,10,"Бишкек, Ак Кеме, Минжилкиева 117",80250,6559033
4,3,100,5,"Бишкек, Джальская больница, Ахунбаева 186",101000,8254983
5,1,60,6,"Бишкек, мкр. Аламедин-1, Токмакская 77",35900,2934197
6,3,124,7,"Бишкек, 7 м-н, 7 мкрн, ул. Сухэ-Батора 49/7",125000,10216563
7,2,75,6,"Бишкек, Каралаева",77000,6293403
8,2,50,5,"Бишкек, Восток-5 м-н",43000,3514498
9,4,130,13,"Бишкек, Магистраль, Асанбай, Сухэ-Батора",112000,9154040
0,2,48,1,"Бишкек, 10 м-н",29800,2435629
1,1,33,2,"Бишкек, Аламедин-1 м-н",33500,2738039
2,2,65,6,"Бишкек, Джал-29 м-н",67000,5476078
3,1,58,4,"Бишкек, Моссовет, боконбаева/советская",65000,5312613
4,2,58,4,"Бишкек, Моссовет",65000,5312613
5,2,62,7,"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",49600,4053932
6,1,48,6,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134",47500,3882294
7,3,68,7,"Бишкек, Магистраль, Токомбаева 27/4, 27/5",62000,5067415
8,3,98.84,11,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",63258,5170202
9,3,87,14,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",52000,4250090
0,3,58,5,"Бишкек, Сквер Тоголок Молдо, Логвиненко/Боконбаева",56000,4577020
1,2,64,13,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",40000,3269300
2,2,50,12,"Бишкек, Филармония, УМЕТАЛИЕВА ЖУМАБЕКОВА",53000,4331823
3,3,80,10,"Бишкек, 4 м-н",81000,6620333
4,2,69,10,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",60000,4903950
5,2,75,10,"Бишкек, Ак Кеме, Минжилкиева 117",80250,6559033
6,2,51,4,"Бишкек, 4 м-н",53000,4331823
7,1,45,10,"Бишкек, Тунгуч м-н, анкара",39500,3228434
8,2,44,4,"Бишкек, Пишпек ж/м, 4 Гор.Больница",34000,2778905
9,1,46,9,"Бишкек, 12 м-н, Токомбаева 52а/2.",42000,3432765
0,2,69,4,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",56580,4624425
1,1,56.4,4,"Бишкек, Магистраль, Масалиева 43/Бакаева",41000,3351033
2,3,100,2,"Бишкек, 12 м-н, Токомбаева 52а/2.",88000,7192460
3,2,111,2,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",95500,7805454
4,4,125,13,"Бишкек, 12 м-н",128000,10461760
5,1,41,14,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",31500,2574574
6,2,78.4,4,"Бишкек, Магистраль, м-н. Асанбай, ул. Аалы Токомбаева",57700,4715965
7,3,108,12,"Бишкек, Нижний Токольдош, Кийизбаева 33",60000,4903950
8,4,110,4,"Бишкек, Джал-23 м-н (Нижний Джал)",82500,6742931
9,1,50,1,"Бишкек, Джал-23 м-н (Нижний Джал)",31500,2574574
0,3,104,6,"с. Кок-Джар, Алма-Атинская/Южная магистраль",77000,6293403
1,2,74,4,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",75500,6170804
2,2,43,2,"Бишкек, КГУСТА/Ахунбаева/Абая",42000,3432765
3,3,130,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",111800,9137694
4,3,58,3,"Бишкек, 8 м-н",49900,4078452
5,3,60,2,"Кочкорка, Сапар Алиева 30/Исакеев",23000,1879848
6,1,50,10,"Бишкек, АЮ Grand, Анкара 28",42500,3473631
7,2,86,9,"Бишкек, Советская - Скрябина",72000,5884740
8,1,67,3,"Бишкек, Ден Сяопина - Фучика, Харьковская 35",53000,4331823
9,1,56,3,"Бишкек, Джальская больница",56000,4577020
0,3,100,11,"Бишкек, Филармония",75000,6129938
1,2,68,2,"Бишкек, Советская - Скрябина, Шабдан Баатыра/Медерова",55000,4495288
2,1,48,5,"Бишкек, Магистраль, Аалы Токомбаева",42000,3432765
3,2,60,8,"Бишкек, Кок-Жар ж/м, Молдокулова/Куйручук",55000,4495288
4,1,39,4,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",29640,2422551
5,1,44,3,"Бишкек, Кок-Жар ж/м, ж/м Кок-Жар, ул. Куйручук 20/7",33000,2697173
6,2,71,3,"Бишкек, КНУ, Фрунзе 571/Уметалиева",46860,3829985
7,3,120,3,"Бишкек, Бишкек-Парк, раззакова линейная",142000,11606015
8,2,80,2,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",77000,6293403
9,3,75,2,"Джалал-Абад, Жени-жок 18а/Дружба",45000,3677963
0,2,77,5,"Бишкек, КНУ, Фрунзе 571/Уметалиева",80000,6538600
1,2,65,7,"Бишкек, КНУ, К. Акиева/Жумабека",64000,5230880
2,2,58,5,"Бишкек, 12 м-н, 12 мкр., ул. Токомбаева/Саякбая Каралаева",65500,5353479
3,3,62,9,"Бишкек, Аламедин-1 м-н, городок строителей",49000,4004893
4,3,78,6,"Бишкек, АЮ Grand,  ул. Исакеева 18/1",70000,5721275
5,1,36,2,"Бишкек, Аламедин-1 м-н, Кольбаева за 5й поликлиникой",36300,2966890
6,2,72,2,"Бишкек, Улан-2 м-н, Ахунбаева",68500,5598676
7,2,93.5,8,"Бишкек, 7 м-н, Сухэ-Батора/А. Токомбаева",62000,5067415
8,1,40,5,"Бишкек, Политех, Ажыбек-Баатыра 10в",50000,4086625
9,3,74,2,"Бишкек, Дворец спорта, исанова 286/абдымомунова",64000,5230880
0,3,64,3,"Бишкек, Ак Эмир рынок, Шопокова/Боконбаева",84000,6865530
1,2,86,10,"Бишкек, Магистраль, пр. Ч. Айтматова",68800,5623196
2,1,48,6,"Бишкек, Джал-29 м-н, Тыналиева/Южная Магистраль",32000,2615440
3,2,70,8,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",49500,4045759
4,1,46,6,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",29000,2370243
5,3,136,3,"Бишкек, Военторг, Сыдыкова 141",225000,18389813
6,4,130,2,"Бишкек, Магистраль, Токомбаева 29/2",147000,12014678
7,1,51,4,"Бишкек, Улан-2 м-н",38800,3171221
8,3,82,2,"Бишкек, ЦУМ, Чуй/Советская",87000,7110728
9,2,70,6,"Бишкек, Магистраль, Бакаева 197",57500,4699619
0,1,39,4,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",49000,4004893
1,2,75,5,"Бишкек, Улан м-н, мкрн. Улан (Бот Сад)",77000,6293403
2,2,64,7,"Бишкек, Военторг, Токтогула 132",55680,4550866
3,1,53,2,"Бишкек, 12 м-н",54700,4470768
4,2,86.5,10,"Бишкек, Магистраль, пр. Ч. Айтматова",73525,6009382
5,3,59,2,"Бишкек, Военторг",62000,5067415
6,2,57,4,"Бишкек, Магистраль, Масалиева 43/Бакаева",41000,3351033
7,3,87.11,9,"Бишкек, VEFA, Кулатова/Элебаева",69688,5695774
8,2,73,11,"Бишкек, Магистраль, просп. Чингиза Айтматова 82/2/Масалиева",62000,5067415
9,2,69,6,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",46500,3800561
